Item,Variant,Clause 1,Clause 2,Sentence
1,[P → A],Mary was scolded by her father,and then her mother did too,"Mary was scolded by her father, and then her mother did too."
,[A → P],Mary’s father scolded her,and then her sister was too,"Mary’s father scolded her, and then her sister was too."
,[A → A],Mary’s father scolded her,and then her mother did too,"Mary’s father scolded her, and then her mother did too."
,[P → P],Mary was scolded by her father,and then her sister was too,"Mary was scolded by her father, and then her sister was too."
,[P → A],Mary was scolded by her father,and then her mother scolded her too,"Mary was scolded by her father, and then her mother scolded her too."
,[A → P],Mary’s father scolded her,and then her sister was scolded too,"Mary’s father scolded her, and then her sister was scolded too."
,[A → A],Mary’s father scolded her,and then her mother scolded her too,"Mary’s father scolded her, and then her mother scolded her too."
,[P → P],Mary was scolded by her father,and then her sister was scolded too,"Mary was scolded by her father, and then her sister was scolded too."
2,[P → A],The report was first read by the judge,and then the lawyer did too,"The report was first read by the judge, and then the lawyer did too."
,[A → P],The judge read the report first,and then the confession was too,"The judge read the report first, and then the confession was too."
,[A → A],The judge read the report first,and then the lawyer did too,"The judge read the report first, and then the lawyer did too."
,[P → P],The report was first read by the judge,and then the confession was too,"The report was first read by the judge, and then the confession was too."
,[P → A],The report was first read by the judge,and then the lawyer read it too,"The report was first read by the judge, and then the lawyer read it too."
,[A → P],The judge read the report first,and then the confession was read too,"The judge read the report first, and then the confession was read too."
,[A → A],The judge read the report first,and then the lawyer read it too,"The judge read the report first, and then the lawyer read it too."
,[P → P],The report was first read by the judge,and then the confession was read too,"The report was first read by the judge, and then the confession was read too."
3,[P → A],The fireman was first praised by the Mayor,and today the President did too,"The fireman was first praised by the Mayor, and today the President did too."
,[A → P],The Mayor first praised the fireman,and then the policeman was too,"The Mayor first praised the fireman, and then the policeman was too."
,[A → A],The Mayor first praised the fireman,and today the President did too,"The Mayor first praised the fireman, and today the President did too."
,[P → P],The fireman was first praised by the Mayor,and then the policeman was too,"The fireman was first praised by the Mayor, and then the policeman was too."
,[P → A],The fireman was first praised by the Mayor,and today the President praised him too,"The fireman was first praised by the Mayor, and today the President praised him too."
,[A → P],The Mayor first praised the fireman,and then the policeman was praised too,"The Mayor first praised the fireman, and then the policeman was praised too."
,[A → A],The Mayor first praised the fireman,and today the President praised him too,"The Mayor first praised the fireman, and today the President praised him too."
,[P → P],The fireman was first praised by the Mayor,and then the policeman was praised too,"The fireman was first praised by the Mayor, and then the policeman was praised too."
4,[P → A],The winner was hugged by the talk-show host,and the announcer did too,"The winner was hugged by the talk-show host, and the announcer did too."
,[A → P],The talk-show host hugged the winner,and the loser was too,"The talk-show host hugged the winner, and the loser was too."
,[A → A],The talk-show host hugged the winner,and the announcer did too,"The talk-show host hugged the winner, and the announcer did too."
,[P → P],The winner was hugged by the talk-show host,and the loser was too,"The winner was hugged by the talk-show host, and the loser was too."
,[P → A],The winner was hugged by the talk-show host,and the announcer hugged him too,"The winner was hugged by the talk-show host, and the announcer hugged him too."
,[A → P],The talk-show host hugged the winner,and the loser was hugged too,"The talk-show host hugged the winner, and the loser was hugged too."
,[A → A],The talk-show host hugged the winner,and the announcer hugged him too,"The talk-show host hugged the winner, and the announcer hugged him too."
,[P → P],The winner was hugged by the talk-show host,and the loser was hugged too,"The winner was hugged by the talk-show host, and the loser was hugged too."
5,[P → A],The student was praised by the old schoolmaster,and the advisor did too,"The student was praised by the old schoolmaster, and the advisor did too."
,[A → P],The old schoolmaster praised the student,and the Teaching Assistant was too,"The old schoolmaster praised the student, and the Teaching Assistant was too."
,[A → A],The old schoolmaster praised the student,and the advisor did too,"The old schoolmaster praised the student, and the advisor did too."
,[P → P],The student was praised by the old schoolmaster,and the Teaching Assistant was too,"The student was praised by the old schoolmaster, and the Teaching Assistant was too."
,[P → A],The student was praised by the old schoolmaster,and the advisor praised her too,"The student was praised by the old schoolmaster, and the advisor praised her too."
,[A → P],The old schoolmaster praised the student,and the Teaching Assistant was praised too,"The old schoolmaster praised the student, and the Teaching Assistant was praised too."
,[A → A],The old schoolmaster praised the student,and the advisor praised her too,"The old schoolmaster praised the student, and the advisor praised her too."
,[P → P],The student was praised by the old schoolmaster,and the Teaching Assistant was praised too,"The student was praised by the old schoolmaster, and the Teaching Assistant was praised too."
6,[P → A],Mary was given French classes by her French grandmother,and her French aunt did too,"Mary was given French classes by her French grandmother, and her French aunt did too."
,[A → P],Mary’s French grandmother gave her French classes,and her sister was too,"Mary’s French grandmother gave her French classes, and her sister was too."
,[A → A],Mary’s French grandmother gave her French classes,and her French aunt did too,"Mary’s French grandmother gave her French classes, and her French aunt did too."
,[P → P],Mary was given French classes by her French grandmother,and her sister was too,"Mary was given French classes by her French grandmother, and her sister was too."
,[P → A],Mary was given French classes by her French grandmother,and her French aunt gave her French classes too,"Mary was given French classes by her French grandmother, and her French aunt gave her French classes too."
,[A → P],Mary’s French grandmother gave her French classes,and her sister was given French classes too,"Mary’s French grandmother gave her French classes, and her sister was given French classes too."
,[A → A],Mary’s French grandmother gave her French classes,and her French aunt gave her French classes too,"Mary’s French grandmother gave her French classes, and her French aunt gave her French classes too."
,[P → P],Mary was given French classes by her French grandmother,and her sister was given French classes too,"Mary was given French classes by her French grandmother, and her sister was given French classes too."
7,[P → A],Susan was offered a loan by the bank,and the credit union did too,"Susan was offered a loan by the bank, and the credit union did too."
,[A → P],Susan’s bank offered her a loan,and her sisters were too,"Susan’s bank offered her a loan, and her sisters were too."
,[A → A],Susan’s bank offered her a loan,and the credit union did too,"Susan’s bank offered her a loan, and the credit union did too."
,[P → P],Susan was offered a loan by the bank,and her sisters were too,"Susan was offered a loan by the bank, and her sisters were too."
,[P → A],Susan was offered a loan by the bank,and the credit union offered her a loan too,"Susan was offered a loan by the bank, and the credit union offered her a loan too."
,[A → P],Susan’s bank offered her a loan,and her sisters were offered a loan too,"Susan’s bank offered her a loan, and her sisters were offered a loan too."
,[A → A],Susan’s bank offered her a loan,and the credit union offered her a loan too,"Susan’s bank offered her a loan, and the credit union offered her a loan too."
,[P → P],Susan was offered a loan by the bank,and her sisters were offered a loan too,"Susan was offered a loan by the bank, and her sisters were offered a loan too."
8,[P → A],The witness was surprised by the policeman’s question,and the lawyer did too,"The witness was surprised by the policeman’s question, and the lawyer did too."
,[A → P],The policeman’s question surprised the witness,and the accused was too,"The policeman’s question surprised the witness, and the accused was too."
,[A → A],The policeman’s question surprised the witness,and the lawyer did too,"The policeman’s question surprised the witness, and the lawyer did too."
,[P → P],The witness was surprised by the policeman’s question,and the accused was too,"The witness was surprised by the policeman’s question, and the accused was too."
,[P → A],The witness was surprised by the policeman’s question,and the lawyer surprised him too,"The witness was surprised by the policeman’s question, and the lawyer surprised him too."
,[A → P],The policeman’s question surprised the witness,and the accused was surprised too,"The policeman’s question surprised the witness, and the accused was surprised too."
,[A → A],The policeman’s question surprised the witness,and the lawyer surprised him too,"The policeman’s question surprised the witness, and the lawyer surprised him too."
,[P → P],The witness was surprised by the policeman’s question,and the accused was surprised too,"The witness was surprised by the policeman’s question, and the accused was surprised too."
9,[P → A],The autoworkers were exploited by the local business,and the big corporations did too,"The autoworkers were exploited by the local business, and the big corporations did too."
,[A → P],The local business exploited the autoworkers,and the metal workers were too,"The local business exploited the autoworkers, and the metal workers were too."
,[A → A],The local business exploited the autoworkers,and the big corporations did too,"The local business exploited the autoworkers, and the big corporations did too."
,[P → P],The autoworkers were exploited by the local business,and the metal workers were too,"The autoworkers were exploited by the local business, and the metal workers were too."
,[P → A],The autoworkers were exploited by the local business,and the big corporations exploited them too,"The autoworkers were exploited by the local business, and the big corporations exploited them too."
,[A → P],The local business exploited the autoworkers,and the metal workers were exploited too,"The local business exploited the autoworkers, and the metal workers were exploited too."
,[A → A],The local business exploited the autoworkers,and the big corporations exploited them too,"The local business exploited the autoworkers, and the big corporations exploited them too."
,[P → P],The autoworkers were exploited by the local business,and the metal workers were exploited too,"The autoworkers were exploited by the local business, and the metal workers were exploited too."
